,BìnhChánh,BìnhTân,BìnhThạnh,CầnGiờ,CủChi,GòVấp,HócMôn,NhàBè,PhúNhuận,Quận1,Quận10,Quận11,Quận12,Quận3,Quận4,Quận5,Quận6,Quận7,Quận8,TânBình,TânPhú,Thủ Đức
BìnhChánh,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0
BìnhTân,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0
BìnhThạnh,0,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1
CầnGiờ,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CủChi,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GòVấp,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0
HócMôn,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
NhàBè,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
PhúNhuận,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0
Quận1,0,0,1,0,0,0,0,0,1,0,1,0,0,1,1,1,0,0,0,0,0,1
Quận10,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,0,0,1,0,0
Quận11,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,1,1,0
Quận12,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
Quận3,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,1,0,0
Quận4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,1,0,0,1
Quận5,0,0,0,0,0,0,0,0,0,1,1,1,0,1,1,0,1,0,1,0,0,0
Quận6,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0
Quận7,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1
Quận8,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0
TânBình,0,0,0,0,0,1,0,0,1,0,1,1,1,1,0,0,0,0,0,0,1,0
TânPhú,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,1,0,0
Thủ Đức,0,0,1,0,0,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0
