district,degree,betweenness,closeness,pagerank
Quận1,0.3333333333333333,0.22380952380952382,0.15791540961886702,0.07594457197194299
Quận4,0.23809523809523808,0.2142857142857143,0.1483145533885372,0.0505260784128171
Quận7,0.23809523809523808,0.1619047619047619,0.12283811884678088,0.03900477245414142
PhúNhuận,0.23809523809523808,0.1523809523809524,0.15859555782058798,0.05425865421639164
Quận12,0.3333333333333333,0.14285714285714288,0.11883422869180131,0.04666009924426687
TânBình,0.3333333333333333,0.1285714285714286,0.15383840072198623,0.061123738375854136
Quận5,0.3333333333333333,0.11904761904761905,0.15583608627021578,0.0733195730493583
GòVấp,0.19047619047619047,0.1,0.13687569378555187,0.04069738125976371
HócMôn,0.19047619047619047,0.09523809523809525,0.08545682523793231,0.02795329096739824
NhàBè,0.14285714285714285,0.09523809523809525,0.07992736873749698,0.02501742420697982
Quận11,0.23809523809523808,0.09047619047619049,0.1517355163914706,0.056951056221088106
Quận6,0.23809523809523808,0.06666666666666668,0.1399813908860471,0.057067072111490466
Quận10,0.23809523809523808,0.06190476190476191,0.15800465864068158,0.06368704430967413
BìnhTân,0.2857142857142857,0.06190476190476191,0.12254824352605745,0.04862867231806323
Quận3,0.23809523809523808,0.05238095238095239,0.16195323584984392,0.06733656594758262
TânPhú,0.23809523809523808,0.04285714285714286,0.13852477128604285,0.043618570438384525
Quận8,0.2857142857142857,0.02380952380952381,0.1313806587465429,0.0504881914517872
BìnhThạnh,0.23809523809523808,0.02380952380952381,0.13275858428503576,0.03613744638852973
BìnhChánh,0.23809523809523808,0.009523809523809525,0.10336478726654526,0.03475913214818954
CủChi,0.047619047619047616,0.0,0.047968923843815264,0.011322570289741624
CầnGiờ,0.047619047619047616,0.0,0.039841149988318496,0.01141254203975117
Thủ Đức,0.23809523809523808,0.0,0.09097072597751764,0.024085552176803665
