district_id,district_name,year,month,week,cases
BC,Bình Chánh,2022,1,1,133
BT,Bình Tân,2022,1,1,120
BTH,Bình Thạnh,2022,1,1,52
CG,Cần Giờ,2022,1,1,13
CC,Củ Chi,2022,1,1,79
GV,Gò Vấp,2022,1,1,74
HM,Hóc Môn,2022,1,1,74
NB,Nhà Bè,2022,1,1,31
PN,Phú Nhuận,2022,1,1,14
Q1,Quận 1,2022,1,1,15
Q10,Quận 10,2022,1,1,18
Q11,Quận 11,2022,1,1,17
Q12,Quận 12,2022,1,1,82
Q3,Quận 3,2022,1,1,14
Q4,Quận 4,2022,1,1,17
Q5,Quận 5,2022,1,1,18
Q6,Quận 6,2022,1,1,19
Q7,Quận 7,2022,1,1,36
Q8,Quận 8,2022,1,1,42
TB,Tân Bình,2022,1,1,60
TP,Tân Phú,2022,1,1,60
TD,Thủ Đức,2022,1,1,152
BC,Bình Chánh,2022,1,2,109
BT,Bình Tân,2022,1,2,109
BTH,Bình Thạnh,2022,1,2,69
CG,Cần Giờ,2022,1,2,9
CC,Củ Chi,2022,1,2,59
GV,Gò Vấp,2022,1,2,92
HM,Hóc Môn,2022,1,2,85
NB,Nhà Bè,2022,1,2,37
PN,Phú Nhuận,2022,1,2,11
Q1,Quận 1,2022,1,2,23
Q10,Quận 10,2022,1,2,16
Q11,Quận 11,2022,1,2,19
Q12,Quận 12,2022,1,2,86
Q3,Quận 3,2022,1,2,18
Q4,Quận 4,2022,1,2,14
Q5,Quận 5,2022,1,2,19
Q6,Quận 6,2022,1,2,30
Q7,Quận 7,2022,1,2,41
Q8,Quận 8,2022,1,2,42
TB,Tân Bình,2022,1,2,72
TP,Tân Phú,2022,1,2,56
TD,Thủ Đức,2022,1,2,162
BC,Bình Chánh,2022,1,3,130
BT,Bình Tân,2022,1,3,133
BTH,Bình Thạnh,2022,1,3,64
CG,Cần Giờ,2022,1,3,15
CC,Củ Chi,2022,1,3,82
GV,Gò Vấp,2022,1,3,79
HM,Hóc Môn,2022,1,3,72
NB,Nhà Bè,2022,1,3,30
PN,Phú Nhuận,2022,1,3,8
Q1,Quận 1,2022,1,3,26
Q10,Quận 10,2022,1,3,19
Q11,Quận 11,2022,1,3,20
Q12,Quận 12,2022,1,3,103
Q3,Quận 3,2022,1,3,13
Q4,Quận 4,2022,1,3,17
Q5,Quận 5,2022,1,3,17
Q6,Quận 6,2022,1,3,15
Q7,Quận 7,2022,1,3,51
Q8,Quận 8,2022,1,3,38
TB,Tân Bình,2022,1,3,63
TP,Tân Phú,2022,1,3,52
TD,Thủ Đức,2022,1,3,169
