distric_id,distric_name,population,area_km2,density
Q1,Quận 1,142.625,7.73,18.451
Q2,Quận 3,190.375,4.92,38.694
Q3,Quận 4,175.329,4.18,41.945
Q4,Quận 5,159.073,4.27,37.254
Q5,Quận 6,233.561,7.19,32.712
Q6,Quận 7,360.155,35.69,10.091
Q7,Quận 8,424.667,19.18,22.222
Q8,Quận 10,234.819,5.72,41.052
Q9,Quận 11,209.867,5.14,40.83
Q10,Quận 12,620.146,52.74,11.921
Q11,Quận Bình Thạnh,499.164,20.76,24.021
Q12,Quận Gò Vấp,676.899,19.73,34.308
Q13,Quận Phú Nhuận,163.961,4.86,33.599
Q14,Quận Tân Bình,474.792,22.43,21.168
Q15,Quận Tân Phú,485.348,15.97,30.391
Q16,Quận Bình Tân,784.173,52.02,15.074
Q17,Thành Phố Thủ Đức,1.169.967,211.56,5.53
Q18,Huyện Nhà Bè,206.837,100.43,2.06
Q19,Huyện Hóc Môn,542.243,109.17,4.967
Q20,Huyện Bình Chánh,705.508,252.69,2.793
Q21,Huyện Củ Chi,462.047,434.77,1.063
Q22,Huyện Cần Giờ,71.526,704.45,102
