district_id;district_name;year;month;week;cases;population;area_km2;density;cases_per_100k
BC;Bình Chánh;2022;1;1;133;705508.0;252.69;2.793;18.852
BT;Bình Tân;2022;1;1;120;784173.0;52.02;15.074;15.303
BTH;Bình Thạnh;2022;1;1;52;499164.0;20.76;24.021;10.417
CG;Cần Giờ;2022;1;1;13;71526.0;704.45;102.0;18.175
CC;Củ Chi;2022;1;1;79;462047.0;434.77;1.063;17.098
GV;Gò Vấp;2022;1;1;74;676899.0;19.73;34.308;10.932
HM;Hóc Môn;2022;1;1;74;542243.0;109.17;4.967;13.647
NB;Nhà Bè;2022;1;1;31;206837.0;100.43;2.06;14.988
PN;Phú Nhuận;2022;1;1;14;163961.0;4.86;33.599;8.539
Q1;Quận 1;2022;1;1;15;142625.0;7.73;18.451;10.517
Q10;Quận 10;2022;1;1;18;234819.0;5.72;41.052;7.665
Q11;Quận 11;2022;1;1;17;209867.0;5.14;40.83;8.1
Q12;Quận 12;2022;1;1;82;620146.0;52.74;11.921;13.223
Q3;Quận 3;2022;1;1;14;190375.0;4.92;38.694;7.354
Q4;Quận 4;2022;1;1;17;175329.0;4.18;41.945;9.696
Q5;Quận 5;2022;1;1;18;159073.0;4.27;37.254;11.316
Q6;Quận 6;2022;1;1;19;233561.0;7.19;32.712;8.135
Q7;Quận 7;2022;1;1;36;360155.0;35.69;10.091;9.996
Q8;Quận 8;2022;1;1;42;424667.0;19.18;22.222;9.89
TB;Tân Bình;2022;1;1;60;474792.0;22.43;21.168;12.637
TP;Tân Phú;2022;1;1;60;485348.0;15.97;30.391;12.362
TD;Thủ Đức;2022;1;1;152;1169967.0;211.56;5.53;12.992
BC;Bình Chánh;2022;1;2;109;705508.0;252.69;2.793;15.45
BT;Bình Tân;2022;1;2;109;784173.0;52.02;15.074;13.9
BTH;Bình Thạnh;2022;1;2;69;499164.0;20.76;24.021;13.823
CG;Cần Giờ;2022;1;2;9;71526.0;704.45;102.0;12.583
CC;Củ Chi;2022;1;2;59;462047.0;434.77;1.063;12.769
GV;Gò Vấp;2022;1;2;92;676899.0;19.73;34.308;13.591
HM;Hóc Môn;2022;1;2;85;542243.0;109.17;4.967;15.676
NB;Nhà Bè;2022;1;2;37;206837.0;100.43;2.06;17.888
PN;Phú Nhuận;2022;1;2;11;163961.0;4.86;33.599;6.709
Q1;Quận 1;2022;1;2;23;142625.0;7.73;18.451;16.126
Q10;Quận 10;2022;1;2;16;234819.0;5.72;41.052;6.814
Q11;Quận 11;2022;1;2;19;209867.0;5.14;40.83;9.053
Q12;Quận 12;2022;1;2;86;620146.0;52.74;11.921;13.868
Q3;Quận 3;2022;1;2;18;190375.0;4.92;38.694;9.455
Q4;Quận 4;2022;1;2;14;175329.0;4.18;41.945;7.985
Q5;Quận 5;2022;1;2;19;159073.0;4.27;37.254;11.944
Q6;Quận 6;2022;1;2;30;233561.0;7.19;32.712;12.845
Q7;Quận 7;2022;1;2;41;360155.0;35.69;10.091;11.384
Q8;Quận 8;2022;1;2;42;424667.0;19.18;22.222;9.89
TB;Tân Bình;2022;1;2;72;474792.0;22.43;21.168;15.165
TP;Tân Phú;2022;1;2;56;485348.0;15.97;30.391;11.538
TD;Thủ Đức;2022;1;2;162;1169967.0;211.56;5.53;13.847
BC;Bình Chánh;2022;1;3;130;705508.0;252.69;2.793;18.426
BT;Bình Tân;2022;1;3;133;784173.0;52.02;15.074;16.961
BTH;Bình Thạnh;2022;1;3;64;499164.0;20.76;24.021;12.821
CG;Cần Giờ;2022;1;3;15;71526.0;704.45;102.0;20.971
