,BìnhChánh,BìnhTân,BìnhThạnh,CầnGiờ,CủChi,GòVấp,HócMôn,NhàBè,PhúNhuận,Quận1,Quận10,Quận11,Quận12,Quận3,Quận4,Quận5,Quận6,Quận7,Quận8,TânBình,TânPhú,Thủ Đức
BìnhChánh,0.0,0.4063591583681996,0.0,0.0,0.0,0.0,0.09993591939646684,0.08888736234034496,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10099504349500438,0.23317988483850094,0.0,0.0,0.0
BìnhTân,0.4063591583681996,0.0,0.0,0.0,0.0,0.0,0.12564724802742316,0.0,0.0,0.0,0.0,0.0,0.13157129278954688,0.0,0.0,0.0,0.36567551690683014,0.0,0.26020132930872497,0.0,0.38015060088157754,0.0
BìnhThạnh,0.0,0.0,0.0,0.0,0.0,0.27889744449262344,0.0,0.0,0.3920017152231641,0.3792319990322827,0.0,0.0,0.19479093050960847,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20926487057226
CầnGiờ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07565593281315296,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CủChi,0.0,0.0,0.0,0.0,0.0,0.0,0.104142093069701,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GòVấp,0.0,0.0,0.27889744449262344,0.0,0.0,0.0,0.0,0.0,0.3874811064479479,0.0,0.0,0.0,0.542323491778065,0.0,0.0,0.0,0.0,0.0,0.0,0.46501162416515185,0.0,0.0
HócMôn,0.09993591939646684,0.12564724802742316,0.0,0.0,0.104142093069701,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21962813581387136,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NhàBè,0.08888736234034496,0.0,0.0,0.07565593281315296,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18563569257385457,0.0,0.0,0.0,0.0
PhúNhuận,0.0,0.0,0.3920017152231641,0.0,0.0,0.3874811064479479,0.0,0.0,0.0,0.49490938828973746,0.0,0.0,0.0,0.7831138840705159,0.0,0.0,0.0,0.0,0.0,0.5706510942327782,0.0,0.0
Quận1,0.0,0.0,0.3792319990322827,0.0,0.0,0.0,0.0,0.0,0.49490938828973746,0.0,0.5302921902764846,0.0,0.0,1.0,0.7879877077270139,0.4433512220969344,0.0,0.0,0.0,0.0,0.0,0.15112332574184895
Quận10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5302921902764846,0.0,0.69654631115957,0.0,0.8994378176966703,0.0,0.873282877919276,0.0,0.0,0.0,0.3829643049910555,0.0,0.0
Quận11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.69654631115957,0.0,0.0,0.0,0.0,0.6488197651240392,0.6934848526336325,0.0,0.0,0.3382000315105996,0.4368966840517399,0.0
Quận12,0.0,0.13157129278954688,0.19479093050960847,0.0,0.0,0.542323491778065,0.21962813581387136,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2732534877485351,0.19543151345336576,0.11083954392655221
Quận3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7831138840705159,1.0,0.8994378176966703,0.0,0.0,0.0,0.0,0.516398522400487,0.0,0.0,0.0,0.37536700533000483,0.0,0.0
Quận4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7879877077270139,0.0,0.0,0.0,0.0,0.0,0.4284403019957607,0.0,0.47430016100998756,0.21436675409726708,0.0,0.0,0.14806546435835127
Quận5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4433512220969344,0.873282877919276,0.6488197651240392,0.0,0.516398522400487,0.4284403019957607,0.0,0.4364536847295887,0.0,0.3770294840010053,0.0,0.0,0.0
Quận6,0.0,0.36567551690683014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6934848526336325,0.0,0.0,0.0,0.4364536847295887,0.0,0.0,0.7118696846306841,0.0,0.3214696101250024,0.0
Quận7,0.10099504349500438,0.0,0.0,0.0,0.0,0.0,0.0,0.18563569257385457,0.0,0.0,0.0,0.0,0.0,0.0,0.47430016100998756,0.0,0.0,0.0,0.17561132625173947,0.0,0.0,0.1485182274895579
Quận8,0.23317988483850094,0.26020132930872497,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21436675409726708,0.3770294840010053,0.7118696846306841,0.17561132625173947,0.0,0.0,0.0,0.0
TânBình,0.0,0.0,0.0,0.0,0.0,0.46501162416515185,0.0,0.0,0.5706510942327782,0.0,0.3829643049910555,0.3382000315105996,0.2732534877485351,0.37536700533000483,0.0,0.0,0.0,0.0,0.0,0.0,0.5080184484817293,0.0
TânPhú,0.0,0.38015060088157754,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4368966840517399,0.19543151345336576,0.0,0.0,0.0,0.3214696101250024,0.0,0.0,0.5080184484817293,0.0,0.0
Thủ Đức,0.0,0.0,0.20926487057226,0.0,0.0,0.0,0.0,0.0,0.0,0.15112332574184895,0.0,0.0,0.11083954392655221,0.0,0.14806546435835127,0.0,0.0,0.1485182274895579,0.0,0.0,0.0,0.0
